id,name,email_address,age,annual_income,registration_date,status,dept,weight_kg,height_cm,score
1," John Doe ","john.doe@email.com",28,65000,"2023-01-15","active","IT",75.5,178,85
2,"jane smith","jane.smith@company.org",34,78000,"2023-02-20","active","HR",62.0,165,92
3,"Bob Johnson","bob.j@test.net",45,95000,"2022-11-30","inactive","Finance",82.3,185,76
4," Alice Brown","alice.brown@email.com",22,42000,"2023-03-10","active","Marketing",58.7,160,88
5,"Charlie Wilson","charlie.w@company.com",52,110000,"2022-08-15","active","IT",79.1,175,79
6,"Diana Lee","diana.lee@email.com",29,58000,"2023-01-25","active","HR",65.2,170,94
7,"Eva Martinez","eva.martinez@test.org",67,125000,"2021-05-12","active","Finance",70.8,168,82
8,"Frank Taylor","frank.taylor@company.net",31,73000,"2022-12-01","inactive","Marketing",86.4,182,71
9," Grace Davis ","grace.davis@email.com",26,55000,"2023-04-08","active","IT",60.5,163,89
10,"Henry Wilson","henry.w@company.com",41,87000,"2022-09-22","active","Finance",77.9,177,86
